Country,Groups,TAWC,Goal,Conc,WinG,Dr_G,Lo_G,LR16,WR16,L_QF,W_QF,L_SF,W_SF,Lo_F,WinF,Champ,Runup,Third,Fourth,L_KO,W_KO,PenW,PenL,Fifa stand,Fifa score
Russia,A,2,6,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,531
Saudi Arabia,A,3,4,22,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,494
Egypt,A,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,687
Uruguay,A,3,19,19,4,3,2,1,1,0,1,1,0,0,0,0,0,0,1,3,2,1,0,22,931
Portugal,B,4,24,17,6,3,3,1,1,0,1,1,0,0,0,0,0,0,1,3,2,1,0,3,1360
Spain,B,5,39,22,10,1,4,1,2,1,1,0,1,0,1,1,0,0,0,2,5,1,1,6,1228
Morocco,B,1,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,694
Iran ,B,3,5,14,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,792
France,C,5,35,15,6,5,4,0,3,1,2,0,2,1,1,1,0,0,0,2,8,1,1,9,1185
Australia,C,3,11,21,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,740
Peru,C,1,2,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1128
Denmark,C,3,17,18,4,2,3,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,12,1108
Argentina,D,5,41,19,12,2,1,0,4,3,1,0,1,1,0,0,0,0,0,4,6,2,1,4,1359
Iceland,D,1st time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1026
Croatia,D,4,21,17,4,1,7,0,1,0,1,1,0,0,0,0,0,1,0,1,3,0,0,15,1053
Nigeria,D,4,13,22,3,3,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,609
Brazil,E,5,62,31,12,2,1,0,5,2,3,1,2,1,1,1,1,0,1,5,11,1,0,2,1489
Switzerland,E,3,12,8,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,1197
Costa Rica,E,3,13,17,3,2,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,26,872
Serbia,E,2,4,13,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,780
Germany,F,5,70,24,11,3,1,0,5,1,4,2,2,1,1,1,1,2,0,4,14,1,0,1,1609
Mexico,F,5,26,24,7,6,2,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,1038
Sweden,F,2,8,9,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,1002
South Korea,F,5,22,33,4,5,6,1,1,0,1,1,0,0,0,0,0,0,1,3,2,0,0,59,554
Belgium,G,3,15,13,4,5,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1337
Panama,G,1st time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,605
Tunisia,G,3,5,15,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,920
England,G,5,24,18,6,7,2,2,2,2,0,0,0,0,0,0,0,0,0,4,2,0,2,16,1047
Poland,H,2,5,11,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1228
Senegal,H,1,7,6,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,27,862
Colombia,H,2,13,7,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,13,1106
Japan,H,5,14,22,4,3,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,55,593

